Stock, Index, From, To
"VOW.DE", "^GDAXI", "2015-06-18","2015-12-18"
"ICICIBANK.BO", "^BSESN", "2017-12-29", "2018-06-29"
"JNJ", "^GSPC","2018-09-19", "2019-03-19"
"NESTLEIND.NS", "^BSESN","2015-03-03", "2015-09-03"
"GE", "^GSPC", "2019-05-17", "2019-11-17"
"INFY.NS", "^BSESN","2019-06-27", "2019-12-06"
"TCS.BO", "^BSESN","2016-12-21", "2017-05-21"
"GOOG", "^IXIC", "2015-05-10", "2015-11-10"
"MARUTI.NS", "^BSESN", "2016-02-27", "2016-08-27"
"F", "^GSPC","2015-01-17", "2015-06-17"
"DHR", "^GSPC","2018-12-25", "2019-05-25"
"GE", "^GSPC","2018-12-25", "2019-05-25"
